Name,URL,FR,EN
ACPI SARL,https://acpi.tech,"Société d’ingénierie fondée en 1994, nous sommes spécialisés dans les domaines suivants : - Informatique Industrielle : Applicatifs Informatiques,Bases de données, MES et superviseur, traçabilité, Cloud (AZURE), IOT LPWAN (Lorawan) - Banc de test : Aéronautique, matériel électrique - Traçabilité - L'automatisme de Process : production par ""batch"", régulation par logique floue - L'audit d'organisation Industrielle : Flux, Obsolescence Informatique et Automatisme Notre activité Mécatronique permet également de déployer des solutions de robotiques, conventionnelles ou collaboratives. En cours de certification EN9100 et ISO 9001 Nos partenariats : - MICROSOFT PARTNER NETWORK , AZURE - Customer System SIEMENS - AVEVA systems Integrator : WONDERWARE - Spécialiste Historique SCHNEIDER - Spécialiste Historique CITECT SCADA","Established in 1994, we specialize in the following fields: - Industrial Computing: Computing, Databases, MES and Supervisor, Traceability, Cloud (AZURE), IOT LPWAN (Lorawan) - Test Bench: Aeronautics, Electrical Equipment - Traceability - Process Automatism: Production by ""batch"", fuzzy logic control - Industrial Organisation Audit: Flux, Obsolescence Computing and Automation Our Mechanical Activity can also deploy robotics solutions, conventional or collaborative. Under certification EN9100 and ISO 9001 Our partnerships: - MICROSOFT PARTNER NETWORK , AZURE - Customer System SIEMENS - AVEVA systems Integrator : WONDERWARE - Specialist History SCHNEIDER - Specialist History CITECT SCADA"
ACRI-ST,https://www.acri-st.fr/fr/,"Le siege d’ACRI-ST (créée en 1989) est situé a Sophie Antipolis. En France, ACRI-ST dispose également de 3 établissements situés a Paris, Toulouse et Grasse (le Centre d’Etudes et de Recherche Grasse ACRI-ST, CERGA). Son équipe d’ingénieurs et de chercheurs est spécialisée en télédétection spatiale (Observation de la Terre et de l’Univers depuis l'espace) et en gestion des tres importants volumes de données (liées a l'océan, la terre et l'atmosphere) transmises par les satellites. La diversité des services et des expertises permet a la société de travailler sur toute la chaine de traitement et de gestion des données d’Observation de la Terre et intervient dans les secteurs de : simulation de capteurs spatiaux, chaînes opérationnelles de traitement de données spatiales, centre de traitement et d’archivage, centre de contrôle qualité des données, centre de traitement et d’archivage des données Sentinel-2 et Sentinel-3, fourniture de services COPERNICUS aux utilisateurs scientifiques et finaux. Les mesures des satellites sont transformées en données, puis en information et enfin en connaissance, grâce aux outils de traitement et d'interprétation développés par la société qui est devenue un acteur clef dans les programmes d’observation satellitaire en Europe. En croissance constante, ACRI-ST se développe actuellement dans les domaines de l’Astrophysique et du Nouvel âge Spatial avec la construction d’un centre de réception au CERGA. Ses principaux clients sont les agences spatiales (ESA, CNES), Thales Alenia Space , EUMETSAT, le CNRS et la CEE. ACRI-ST a tres régulierement des ouvertures de postes dans l’ensemble de ses équipes.","ACRI-ST's head office (created in 1989) is located in Sophie Antipolis. In France, ACRI-ST also has 3 establishments located in Paris, Toulouse and Grasse (the Center d'Etudes et de Recherche Grasse ACRI-ST, CERGA). Its team of engineers and researchers is specialized in space remote sensing (Earth and Universe Observation from space) and in the management of very large volumes of data (related to the ocean, the earth and the atmosphere ) transmitted by satellites. The diversity of services and expertise allows the company to work on the entire chain of processing and management of Earth Observation data and intervenes in the sectors of: simulation of space sensors, operational chains of processing of space data, processing and archiving center, data quality control center, Sentinel-2 and Sentinel-3 data processing and archiving center, provision of COPERNICUS services to scientific and end users. Satellite measurements are transformed into data, then into information and finally into knowledge, thanks to the processing and interpretation tools developed by the company which has become a key player in satellite observation programs in Europe. In constant growth, ACRI-ST is currently developing in the fields of Astrophysics and the New Space with the construction of a reception center at CERGA. Its main clients are space agencies (ESA, CNES), Thales Alenia Space, EUMETSAT, CNRS and the EEC. ACRI-ST has very regular job openings in all of its teams."
AD INDUSTRIES HYDRAULICS,https://adgroupe.com/,"Filiale du Groupe AD Industrie (CA 190 M - 1 500 collaborateurs), soustraitant global en ingénierie mécanique pour les secteurs sensibles et de haute technologie. MMP est spécialisée en réalisation d’ensembles hydrauliques. De l’étude a la fabrication, le montage et le test, MMP dispose des moyens de derniere génération et d’équipes professionnelles capables d’assurer a ses clients des secteurs Aéronautique, Spatial et Défense, expertise, service et qualité dans la réalisation d’ensembles hydrauliques, vérins et actionneurs, injecteurs. • Bureau d’études et calculs CAO Catia V5 SOLID WORKS • Parc machine CN 4 et 5 axes • CND radio, magnétoscopie, ressuage • Salle de montage • Bancs d’éssais Kérosene et Skydrol","Subsidiary of the AD Industry Group (CA 190 M - 1,500 employees), global subcontractor in mechanical engineering for sensitive and high technology sectors. MMP is specialized in the production of hydraulic assemblies. From the study to the manufacture, the assembly and the test, MMP has the means of last generation and professional teams able to assure its customers in the sectors Aeronautics, Spatial and Defense, expertise, service and quality in the realization of hydraulic assemblies, actuators and actuators, injectors."
AD-WAIBE,https://ad-waibe.fr,"Savoir-faire : - Expertise Design Thinking et innovation, permettant d'adresser le juste besoin des utilisateurs, ou l'accompagnement de projets innovants. - Développement d'application smartphones / tablettes communicantes (satellite, radio Gotenna, Internet...) - Développement de logiciels clients / serveurs, sites Internet, technologies webs - Développement de logiciels temps réels. Principaux clients - Sécurité civile : avec l'application HELITRACKING embarquée a bord des hélicopteres DRAGON - France (www.helitracking.com) - pour la synchronisation et le suivi des missions de secours - Armée de l'air : avec l'application Global Link Combat, embarquée a bord des hélicopteres des Forces Spéciales déployées en OPEX - pour la communication satellite temps réel type ""WhatsApp"", et le suivi des opérations héliportées de l'armée. Systeme Plug and Play, portable, sans modification hélicoptere et une excellente communication satellite reconnue par l'armée Française. - Startup / PME / Grands groupes, avec le développement d'applications smartphones et de sites Internet simples ou complexes, ajustés au juste besoin (plus de 500 réalisations) Autres - Développement de logiciels temps réel pour les AIRBUS (A320, A340, A380, A400M...) et Rafale - depuis 1998 - Coaching de projets innovants par le Design Thinking (plus de 500 projets coachés, expertise de la méthodologie reconnue depuis 2014) - Créateur du Design Center de Thales DMS. Forces de la société : - savoir-faire, sérieux, réactivité, écoute.","Know how : - Design Thinking and innovation expertise, making it possible to address the right needs of users, or coaching of innovative projects. - Smartphone / tablet application development (satellite, Gotenna radio, Internet ...) - Development of client / server software, websites, web technologies - Development of real time software. Main customers - French Civil security: with the HELITRACKING application on board DRAGON helicopters - France (www.helitracking.com) - for synchronization and monitoring of rescue missions - French Air Force: with the Global Link Combat application, on board Special Forces helicopters deployed in Africa - for real-time satellite communication such as ""WhatsApp"", and monitoring of army helicopter operations. Plug and Play system, portable, without helicopter modification and high performance satellite communication . - Startup / SME / big companies, with the development of smartphone applications and simple or complex websites, adjusted to the real need (more than 500 achievements) Other - Development of real-time software for AIRBUS (A320, A340, A380, A400M ...) and Rafale - since 1998 - Coaching of innovative projects through Design Thinking (more than 500 coached projects, methodology expertise recognized since 2014) - Creator of the Thales DMS Design Center. Strengths of the company: - know-how, seriousness, responsiveness, listening."
ADAGOS,https://adagos.com,"ADAGOS a développé une nouvelle approche neuronale basée sur la parcimonie. Elle permet de réduire de plusieurs ordres de grandeurs les ressources (y compris énergétiques) nécessaires pour mettre en ouvre ces méthodes d’apprentissage automatique. Les deux applications majeures de cette technologie sont : • La construction et l’exploitation de jumeaux numériques ; la parcimonie est a l'origine de la construction de modeles dynamiques prédictifs, a partir de mesures et/ou de résultats de simulation, • Les objets connectés (IoT) et les systemes embarqués ; la parcimonie permet de réduire les traitements numériques embarqués, de limiter le transfert de données, de réduire les couts des équipements intégrés et d’augmenter leur autonomie s’ils sont équipés de batterie. En s’appuyant sur sa technologie innovante, ADAGOS conçoit et réalise, en collaboration avec ses clients, des outils métiers ou des modeles spécifiques pour des applications extremement variées (industrie, défense, transport, énergie, santé…).","To address the challenges in the implementation of machine learning, ADAGOS has developed NeurEco. A new neural network approach based on parsimony. NeurEco reduces the resources (size of learning data, energy consumption, size of neural network and memory requirement, computing time, development time) required to implement machine learning methods by several orders of magnitude when compared with the current state of the art. Their first significant fields of application are embedded systems and the Internet of Things. By achieving the smallest sufficient network structure, they minimize the network’s battery consumption and make it possible to embed AI on small devices and to increase their autonomy. Thanks to its parsimony, NeurEco requires less data for learning. It is even possible to embed the learning process and to update the neural network on the fly, avoiding the need for waiting weeks and months to collect enough data. Their second major field of application is healthcare. Thanks to parsimony, any prediction given by ADAGOS’s neural networks comes with a clear explanation."
ADAXIS,https://adaxis.eu/,"ADAXIS est une jeune entreprise dont l'objectif est de participer a la révolution de l'industrie manufacturiere en proposant des outils logiciels innovants pour la robotique industrielle. Nos technologies liberent le potentiel des nouveaux procédé de fabrication. ADAXIS s'attaque aux problemes actuels de la fabrication additive robotique grâce a une suite de nouveaux outils logiciels innovants. Le premier logiciel, AdaOne, permet de configurer facilement et intuitivement un robot en une imprimante 3D, de planifier des trajectoires d'outils afin d'utiliser toute la flexibilité du robot, de réaliser des simulation du procédé et de le surveiller en temps réel. Notre solution peut etre fournie en tant que logiciel autonome ou intégrée directement dans des systemes de fabrication tiers a l'aide de notre API.","ADAXIS is a young company whose aim is to revolutionise the manufacturing industry by offering innovative software tools for industrial robotics. Our technologies unlock the potential of new manufacturing processes and derive maximum value out of it. ADAXIS, founded by a French-Swedish team of technologists, was born out of a unique collaboration between two of the leading research organizations working with robotic manufacturing process in Europe today: École Supérieure des Technologies Industrielles Avancées (ESTIA) and Research Institutes of Sweden (RISE). The team bonded together during a European research project and shared the common goal of rethinking additive robotic manufacturing. Our first product, AdaOne, enables to effortlessly transform any robotic arm into a flexible 3d printer. It allows us to envisage a 10-fold reduction in the cost of robotic additive manufacturing and the development of a family of new robotic industrial processes."
ADDIUM,https://addium.fr,"ADDIUM conçoit et réalise des outillages de formage de pieces composite (moule, noyau de compactage, caul-plate...) et de parachevement de piece (détourage, perçage, contrôle, positionnement...) par des procédés de fabrication additive (Impression 3D). ADDIUM réalise également des prototypes fonctionnelles et pieces finales en thermoplastique.","ADDIUM designs and manufactures tools for forming composite pieces (mould, compacting core, caul-plate...) and finishing pieces (turning, drilling, control, positioning...) by additive manufacturing processes (3D printing). ADDIUM also makes functional prototypes and final pieces in thermoplastic."
ADHETEC,https://adhetec.com,"ADHETEC conçoit, développe et fabrique des solutions adhésives pour l’aéronautique, le ferroviaire et l’automobile. Présent depuis plus de 30 ans sur le marché, ADHETEC propose une gamme complete de produits a destination des constructeurs aéronautiques, sous traitants et airlines : •Protection de surface •Adhésifs d’assemblage •Rubans et pochoirs pour le traitement de surface et la peinture •Marquages extérieurs •Films de décoration En complément de son offre produit, ADHETEC a développé une offre complete de services : Homologation produits, Pose sur avion, Kitting et Logistique.","ADHETEC designs, develops and produces adhesive solutions for the aeronautics, rail and automotive sectors. ADHETEC has been active on the market for more than 30 years, and proposes a comprehensive range of products for aeronautical manufacturers, subcontractors and airlines: •Surface protection •Assembly adhesives •Tapes and stencils for surface treatment and paint •Exterior placards •Exterior decals ADHETEC has developed a comprehensive offer of services in addition to its product offering: product approval, application to aircraft, kitting and logistics."
ADIAL,NA,"Fonderie aluminium : Adial produit et distribue des alliages primaires et meres d'Aluminium et de Zinc. Adial est capable de réaliser ses alliages selon les normes EN 9100 Adial est équipée également de 2 spectrometres, d'un microscope a caméra digitale et de mesure de densité permettant un bon contrôle de l'élaboration de l'alliage et des traitements associés (dégazage)","Aluminium foundry: Adial produces and distributes primary and meres alloys of Aluminium and Zinc. Adial is capable of producing alloys according to EN 9100 standards Adial is also equipped with 2 spectrometers, a digital camera microscope and density measurement allowing a good control of the alloy development and associated treatments (degassing)."
ADVENTICE,https://adventice.fr,"Adventice est fabricant de solutions d’aspiration haute dépression pour les industriels depuis plus de 20 ans. Nous concevons a la fois des solutions d’aspiration centralisées pour des industries de grande taille mais aussi des solutions d’aspiration mobiles ou fixes pour tous les types de déchets, copeaux, poussieres, huiles... Ces solutions répondent aux enjeux de santé et sécurité des travailleurs en aspirant les poussieres toxiques des postes de travail mais aussi en proposant une grande gamme de systemes d’aspiration aux normes Atex pour les poussieres explosives.","Adventice has been manufacturing vacuum suction solutions for industrial applications for over 20 years. We design both centralized vacuum solutions for large-scale industries but also mobile or fixed vacuum solutions for all types of waste, chips, dust, oils... These solutions address the health and safety of workers by sucking toxic dusters from workstations, but also by offering a wide range of Atex-standard suction systems for explosive dusters."
AER,https://aer-direct.com,,
AERIALMETRIC,https://aerialmetric.com,,
