titleEN;titleCZ;KeywordsEN;KeywordsCZ;AbstractEN;AbstractCZ;Supervisor
Analysis of data architecture, processes and roles of a selected enterprise;Analýza datové architektury, procesů a rolí vybraného podniku;data governance, architecture, SME;SME, data governance, architektura;The presented bachelor thesis focuses on a detailed analysis of data architecture, processes, and roles in a selected small or medium-sized enterprise. The aim is to identify key areas for improving the efficiency and competitiveness of the enterprise. This thesis will provide the enterprise with a set of suggestions for improvement. The proposals will focus on data governance, modern data architecture, new roles, and processes. The research methods include a literature search and a semi-structured interview with a selected data professional operating in the selected company. Based on the analysis of the status, specific improvements and measures will be proposed. These suggestions will then be validated with experts and practitioners in the field to verify their relevance and feasibility.;Předkládaná bakalářská práce se zaměřuje na detailní analýzu datové architektury, procesů a rolí ve vybraném malém nebo středně velkém podniku. Cílem je identifikovat klíčové oblasti pro zlepšení efektivity a konkurenceschopnosti podniku. Díky této práci získá podnik sadu návrhů na zlepšení. Návrhy se budou zaměřovat na data governance, moderní datovou architekturu, nové role a procesy. Metody výzkumu zahrnují literární rešerši a polostrukturovaný rozhovor s vybraným datovým odborníkem operujícím ve vybrané firmě. Na základě analýzy aktuálního stavu budou navržena konkrétní zlepšení a opatření. Tyto návrhy budou následně validovány s odborníky a praktiky v oboru, aby se ověřila jejich relevantnost a proveditelnost.;Staněk, Štěpán
E-shop for selling custom artwork;E-shop pro prodej umělecké tvorby na zakázku;e-shop, web application, HTML, CSS, JavaScript, PHP, SQL;webová aplikace, HTML, CSS, Internetový obchod, JavaScript, PHP, SQL;The thesis is centred around designing and implementing an e-shop which sells custom made paintings. Along with that the site will serve as an online presentation for the artist Bc. Kateřina Beránková, whose art pieces are displayed there. For the development I used the MMSP methodology, thanks to which I was able to customize the app based on the specifications provided by the artist herself on our regular meetings. To ensure the best estimate on the importance of each element I decided to analyse other already existing online presentations of other local and foreign artists and e-shops which specialize in custom made products. From the research I gathered that each artist presentation offers a about me page and a gallery with their previous work. E-shops specialized in custom made products have alongside the order form a series of links that forward the user on various legal texts, such as terms and conditions and privacy policies. The main result of this thesis is a fully functional author’s website for Bc. Kateřina Beránková, where the visitor can learn more about her life, view her previous work and submit a custom order, the details of which they can communicate with the artist herself.;Bakalářská práce se zabývá návrh a implementací e-shopu pro prodej umění na zakázku. Současně s tím budou stránky sloužit jako webová prezentace umělkyně Bc. Kateřiny Beránkové, jejíž umění je na nich vystaveno. K vývoji jsem použil metodiku MMSP, díky které bylo možné výslednou aplikace pomocí pravidelných schůzek a ukázek vytvořit podle představ umělkyně. Její zaměření je pro menší projekty, což perfektně pokrývá potřeby této práce. Pro co nejlepší odhad nejdůležitějších prvků a procesů jsem provedl analýzu již existujících autorských realizací a webových e-shopů specializujících se na zakázkovou výrobu. Z výzkumu jsem zjistil, že každý autorský web disponuje stránkami s informacemi o daném autorovi nebo autorce a jejich uměleckém portfoliu. E-shopy specializující se na zakázkovou výrobu mají u objednávkového formuláře zase odkazy na důležité právní texty, jako jsou obchodní podmínky nebo zásady ochrany osobních údajů. Hlavním výsledkem této práce je plně funkční autorský web pro Bc. Kateřinu Beránkovou, na kterém se návštěvník může dozvědět více o jejím životě, prohlédnout si její předchozí tvorbu a zadat objednávku pro obraz na míru, o jehož detailech pak může s autorkou komunikovat.;Vojíř, Stanislav
Fake news and manipulation on social networks;Fake news a manipulace na sociálních sítích;fake news, social networks, manipulation, information, disinformation;fake news, sociální sítě, manipulace, informace, dezinformace;The bachelor thesis focuses on the topic of fake news and manipulation on social networks. The aim of this thesis is to conduct original research focused on the ability to identify fake news on social networks among young people from Prague and compare it with the results of research on the ability to identify fake news among young people from Moscow by authors Zuykina and Sokolova, which was published in the journal of Tomsk State University. The theoretical part of the thesis describes the concepts of information, disinformation, fake news and social networks, presents the results of research conducted by the authors of the Moscow State University M. V. Lomonosov. To achieve the set goal, the following methods are used in the methodology: research, questionnaire survey, and comparison. The practical part consists of the set goal and hypotheses. The empirical research was conducted in the form of a questionnaire survey. The collected data were further evaluated and used in the development of the already set goal.;Bakalářská práce se zaměřuje na téma fake news a manipulace na sociálních sítích. Cílem této práce je provést vlastní výzkum zaměřený na schopnost identifikovat fake news na sociálních sítích mezi mladými lidmi z Prahy a porovnat ho s výsledky výzkumu o schopnosti identifikace fake news mezi mladými lidmi z Moskvy autorek Zuykina K. L. a Sokolova D. V., který byl publikován v časopise Tomské státní univerzity. Teoretická část práce se zabývá popisem pojmů informace, dezinformace, fake news a sociálních sítí, představuje výsledky výzkumu provedeného autorkami z Moskevské státní univerzity M. V. Lomonosova. Pro dosažení stanoveného cíle je v rámci metodiky využito těchto metod: rešerše, dotazníkové šetření a komparace. Praktická část se skládá ze stanoveného cíle a hypotéz. Empirický výzkum byl proveden formou dotazníkového šetření. Získaná data byly dále vyhodnoceny a využity při vypracování již definovaného cíle.;Rožmberská, Lucie
Migrating on-premise web application to the cloud;Migrace on-premise webové aplikace do cloudu;prototype development , system design architecture, IoT, cloud migration;IoT, návrh systémového designu, migrace do cloudu, vývoj prototypu;This bachelor&amp,apos,s thesis primarily focuses on designing a system architecture for migrating a web application to cloud environment. The key objective is to create a robust and scalable architecture that efficiently supports the collection, aggregation, and visualization of data, while addressing specific challenges associated with cloud infrastructure. The thesis examines existing on-premises solutions, identifies key areas for improvement, and proposes a new solution utilizing modern cloud technologies and principles. Additionally, the thesis includes the development and evaluation of a prototype, demonstrating the practical applicability and efficiency of the proposed system design.;Tato bakalářská práce se primárně zaměřuje na návrh systémového designu pro migraci webové aplikace do cloudového prostředí. Cílem je vytvořit robustní a škálovatelnou architekturu, která efektivně podporuje sběr, agregaci a vizualizaci dat, zatímco zohledňuje specifické výzvy spojené s cloudovou infrastrukturou. Práce zkoumá existující on-premise řešení, identifikuje klíčové oblasti pro zlepšení a navrhuje nové řešení s využitím moderních cloudových technologií a principů. Dále se práce věnuje analýze výkonnostních, bezpečnostních a nákladových aspektů navrhovaného systémového designu. Součástí práce je také vývoj a evaluace prototypu, který demonstruje praktickou aplikovatelnost a efektivitu navrhovaného systémového designu.;Vencovský, Filip
Mobile application for monitoring and improving sleep habits;Mobilní aplikace pro sledování a zlepšení spánkových návyků;mobile application, Android, sleep, persuasive design, Jetpack Compose;persvazivní design, mobilní aplikace, Android, Jetpack Compose, spánek;This bachelor thesis presents the process and results of the development of Schleep, a mobile application aimed at monitoring and improving users&amp,apos, sleep habits. To motivate the user effectively, the app uses persuasive design principles. It focuses on the principle of competition by gamifying the adherence to a regular sleep schedule.  The paper commences by establishing a comprehensive theoretical framework to provide a nuanced understanding of the subject matter. An analysis of existing solutions is conducted, paving the way for the subsequent design of the application. Within this design phase, the author meticulously outlines all requirements that the resulting software must fulfill. It then describes the process of implementing the application using the modern Jetpack Compose framework and the Material Design 3 design system. The fulfilment of the design requirements was verified by acceptance testing and user feedback was obtained using a standardized Post-Study System Usability Questionnaire (PSSUQ).  The primary deliverables of this bachelor thesis include the public release of the source code and the Schleep mobile application itself.;Tato bakalářská práce představuje proces a výsledky vývoje mobilní aplikace Schleep, jejíž cílem je sledování a zlepšení spánkových návyků uživatelů. Aby aplikace uživatele efektivně motivovala, využívá principů persvazivního designu. Soustředí se zejména na princip soutěže, a to gamifikací dodržování pravidelného spánkového režimu.  Práce začíná stanovením teoretického rámce nutného pro pochopení problematiky. Autor provedl analýzu existujících řešení a následně vytvořil návrh aplikace. V něm specifikuje požadavky, které musí výsledný software splňovat. Dále je popsán proces implementace aplikace za využití moderního frameworku Jetpack Compose a designového systému Material Design 3. Splnění požadavků návrhu bylo ověřeno akceptačním testováním a pomocí standardizovaného dotazníku Post-Study System Usability Questionnaire (PSSUQ) byla získána zpětná vazba od uživatelů.  Hlavními výstupy bakalářské práce jsou veřejně dostupné zdrojové kódy a samotná mobilní aplikace Schleep.;Doležel, Michal
Design and development of website with a reservation system;Návrh a tvorba webových stránek s rezervačním systémem;web, Tailwind CSS, resercation, Prisma, Next.js, TypeScript, website;webové stránky, TypeScript, Tailwind CSS, Prisma, web, Next.js, rezervace;This bachelor&amp,apos,s thesis focuses on the design and implementation of a web application for a client that provides massage services. The main goal is to create a modern informational and booking system that allows clients to easily access information about services and book massages online. The work is guided by the waterfall model of software development, providing a structured framework for progressive planning, development, testing, and maintenance of the project. Emphasis is placed on simplicity, clarity, and an attractive design for users. Modern technologies such as Next.js, Typescript, Tailwind CSS, and Prisma are used for efficiency and quality of the resulting product. The outcome is a functional web application that supports the client&amp,apos,s business and enhances communication with her customers.;Tato bakalářská práce se zabývá návrhem a implementací webové aplikace pro zadavatelku, která poskytuje masážní služby. Hlavním cílem je vytvoření moderního informačního a rezervačního systému, který umožní klientům snadněji získat informace o službách a rezervovat si masáže online. Práce je řízena vodopádovým modelem vývoje softwaru, který poskytuje strukturovaný rámec pro postupné plánování, vývoj, testování a údržbu projektu. Důraz je kladen na jednoduchost, přehlednost a atraktivní design pro uživatele. Moderní technologie jako Next.js, Typescript, Tailwind CSS a Prisma jsou použity pro efektivitu a kvalitu výsledného produktu. Výsledkem je funkční webová aplikace, která podporuje podnikání zadavatelky a zlepšuje komunikaci s jejími zákazníky.;Luc, Ladislav
Evaluation of agent SARSA in the algorithmic IQ test;Vyhodnocení agenta SARSA v testu algoritmického IQ;Universal intelligence, Reinforcement learning, Artificial intelligence, Algorithmic Intelligence Quotient Test, SARSA, aluating Intelligence of AI Systems;vyhodnocování inteligence systémů UI, Univerzální inteligence, umělá inteligence, posilované učení, test algoritmického IQ, SARSA;Evaluating the intelligence of artificial agents has long taken an anthropocentric route, such as the Turing test, but it is not without problems. Its binary nature is not ideal for comparing very similar systems where exact metrics are needed. Such a metric is offered by the AIQ test, which is the main point of this thesis.  This bachelor thesis is concerned with the analysis of the performance of reinforcement learning agents, specifically the SARSA and SARSA(<U+03BB>) algorithms, and their subsequent evaluation using the AIQ test, which serves as a practical approximation to the theory of universal intelligence.  The thesis has a theoretical section that introduces the two main topics by synthesizing key literature. The most important sources for the topic of evaluating artificial systems are Legg &amp, Veness (2013) and Vadinsky&amp,apos,s dissertation (2018b). For reinforcement learning, Sutton &amp, Barto (2014) was the main source for the synthesis, describing each element of reinforcement learning in depth. Putting the topic in context is necessary to understand the work as a whole. I discuss the practical part of the thesis at the end of chapter two, where I describe how I implemented the agents, which I further elaborate in chapter three. The last chapter is devoted to the practical experiments, where I ask the research questions and analyze the results.  •How does SARSA and its SARSA(<U+03BB>) extension perform relative to other agents tested in the AIQ?  •How does SARSA and its extension SARSA(<U+03BB>) perform specifically against Q-learning agents?  •What is the effect of each parameter on the results?  The experimental results show an interesting phenomenon that would be worth investigating more in the future, that the SARSA and SARSA(<U+03BB>) agents perform at different levels, with the SARSA(<U+03BB>) agent performing slightly worse than the baseline version of SARSA. Apart from the phenomenon mentioned above, the agent behaved as expected and the performance was weaker than the Q-learning agent. It is because of the assumed behaviour that occurred that we could strengthen the argument for the validity of the AIQ test. The analysis of the effect of parameters revealed that parameter values can significantly affect the performance of agents especially at the extremes at the specified interval. The paper concludes by presenting the results and outlining avenues for possible follow-up research on this issue.;například Turingovým testem, který však není bez problémů. Jeho binární povaha není ideální pro porovnávání velmi podobných systémů, kde je potřeba exaktní metrika. Takovou metriku nabízí AIQ test, který je stěžejním bodem této práce.  Bakalářská práce se zabývá analýzou výkonnosti agentů posilovaného učení, konkrétně algoritmů SARSA a SARSA(<U+03BB>), a jejich následnou evaluací pomocí AIQ testu, který slouží jako praktická aproximace teorie univerzální inteligence. Práce má teoretickou část, která uvádí do obou stěžejních témat syntézou klíčové literatury. Mezi nejdůležitější zdroje se řadí u problematiky vyhodnocování umělých systémů práce od Legg &amp, Veness (2013) a dizertační práce od Vadinského (2018 b). Pro posilované učení byla při syntéze hlavním zdrojem kniha Sutton &amp, Barto (2014), která popisuje každý prvek posilovaného učení do hloubky. Uvedení do kontextu tématiky je nutné pro pochopení práce jako celku.  Praktické části práce se věnuji v závěru druhé kapitoly, kde popisuji, jak jsem implementoval agenty, což dále rozvádím ve třetí kapitole. Poslední kapitola se věnuje praktickým experimentům, kde si kladu výzkumné otázky a analyzuji výsledky.  •Jak si vede SARSA a její rozšíření SARSA(<U+03BB>) vůči dalším agentům otestovaným v AIQ testu?  •Jak si vede SARSA a její rozšíření SARSA(<U+03BB>) konkrétně vůči agentům Q-learningu? •Jaký je vliv jednotlivých parametrů na výsledky?   Výsledky experimentů ukazují zajímavý fenomén, který by stálo za to více prověřit do budoucna. A to, že agenti SARSA a SARSA(<U+03BB>) dosahují rozdílných úrovní výkonnosti, přičemž agent SARSA(<U+03BB>) vykazuje o něco horší výsledky než základní verze SARSA. Mimo zmíněného fenoménu se agent choval podle předpokladu a výkon byl slabší než u agenta Q-learningu. Právě díky předpokládanému chování, které nastalo, můžeme posílit argument pro validitu AIQ testu. Analýza vlivu parametrů odhalila, že hodnoty parametrů mohou výrazně ovlivnit výkonnost agentů hlavně v extrémních hodnotách u stanoveného intervalu. Závěrem práce jsou prezentovány výsledky a představeny způsoby možného navazujícího výzkumu této problematiky.;Vadinský, Ondřej
Use of freely available projects for building an integrated smart home;Využití volně dostupných projektů pro sestavení integrované chytré domácnosti;Central control unit, Internet of Things, Interoperability, Integration, Automation, Smart Home;Chytrá domácnost,  Internet věcí, Interoperabilita, Intgrace, Řídící jednotka, Automatizace;This thesis introduces and analyzes the smart home market and related technologies in  detail. It describes the different ways of smart home integration and their advantages and  disadvantages. It also determines which environments each type of setup is best suited to  and compares their approximate costs on a defined household model. The last chapter of  the thesis discusses the process of installing a smart home using open source software. The  aim of the thesis is to design and develop a user-friendly control system that enables  efficient control, automation and management of smart devices in the home.;Tato práce představuje a analyzuje trh chytrých domácností a související technologie.  Popisuje různé způsoby zapojení chytrých domácností a jejich výhody a nevýhody. Dále  stanovuje, do kterých prostředí se jednotlivé typy zapojení nejvíce hodí, a porovnává jejich  přibližné ceny na definovaném modelu domácnosti. V poslední kapitole práce se zabývá  procesem instalace chytré domácnosti s využitím open source softwaru. Cílem práce je  navrhnout a vytvořit uživatelsky přívětiví řídící systém, který umožní efektivní ovládání,  automatizaci a správu chytrých zařízení v domácnosti.;Luc, Ladislav
Web interfaces for working with large language models;Webová rozhraní pro práci s velkými jazykovými modely;Large language models, infrastructure, web technologies, API, inference;webové technologie, API, infrastruktura, Velké jazykové modely, inference;This bachelor’s thesis focuses on free tools for deploying large language models (LLMs) on local hardware. The theoretical section surveys related technologies and presents the foundational theory necessary for creating an understanding of the area. Three main directions were identified: application development, model development, and infrastructure technologies. Relevant publicly available software projects are briefly introduced to provide an overview. In the practical section, selected tools were deployed using the Llama 3 model and their basic functionalities were demonstrated. Additionally, a demonstrative web application was implemented to validate statements with a given internet source. The application is based on an existing validation script which was adapted for the purpose of this paper. The application integrates the deployed LLM tools, illustrating concepts that can be encountered in applications using LLMs. The university’s local infrastructure was utilized. Finally, a brief qualitative comparison of the deployed technologies was conducted, and their most suitable use case was identified.;Bakalářská práce se zaměřuje na bezplatné nástroje pro zprostředkování velkých jazykových modelů (LLM) na lokálním hardware. V teoretické části je proveden průzkum souvisejících technologií a je představen teoretický základ pro pochopení problematiky. Byly identifikovány tři hlavní směry. Těmi jsou vývoj aplikací, tvorba modelů, a infrastrukturní technologie. Re- levantní veřejně dostupné softwarové projekty byly stručně představeny za účelem vytvoření přehledu. V praktické části byly vybrané nástroje zprovozněny nad modelem Llama 3 a jejich základní funkcionality byly předvedeny. Dále byla implementována demonstrativní webová aplikace pro validaci tvrzení oproti zadanému internetovému zdroji. Základem aplikace je existující validační skript, který byl adaptován pro účely aplikace. Aplikace integruje zprovozněné nástroje a na její implementaci jsou znázorněny koncepty, které se mohou v aplikacích nad LLM vyskytnout. Využita byla lokální infrastruktura univerzity. Následně bylo provedeno stručné srovnání zprovozněných technologií z kvalitativního hlediska a bylo určeno jejich nejvhodnější využití.;Kliegr, Tomáš
Web interface for association rule mining using low-code frameworks;Webové rozhraní pro dolování asociačních pravidel pomocí low-code frameworků;machine learning, Association rules, Python, user interface, web application;Python, uživatelské rozhraní, webová aplikace, Asociační pravidla, strojové účení;This work focuses on creation of web interface for association rule mining. The interface was designed and programmed in a low-code framework Anvil and offers the user to pass custom values of interestingness measures. The input file contains thousands of rows representing customers of a fictional bank with their loan payments. Association rules can thus be used to search for patterns of customer behavior in the dataset, for example to detect which of the groups repay their loans and which do not. The dataset is being processed on the server side represented by Jupyter Notebook by association rules mining methods, which have been proven by countless experts and researchers. These methods communicate directly with the user interface of the web application, where the result of the calculation is then displayed to the user. The web application was being continuously tested and some interesting association rules can be discovered in the user-friendly interface once the advanced options for entering parameters are taken advantage of.;Tato práce se zaměřuje na tvorbu webového rozhraní pro dolování asociačních pravidel. Rozhraní bylo navrženo a naprogramováno v low-code frameworku Anvil a nabízí uživateli zadání vlastních hodnot měřítek zajímavosti. Vstupní dataset obsahuje několik tisíc řádků záznamů v podobě zákazníků fiktivní banky s údaji o splácení úvěrů. Asociačními pravidly tak lze v datasetu hledat vzory chování zákazníků například pro zjištění, které jejich skupiny úvěry splácí a které ne. Dataset je zpracován funkcemi na serveru v Jupyter notebooku. Tyto funkce obsahují výzkumníky i odborníky z praxe ověřené algoritmy pro dolování a sestavení asociačních pravidel podle zadaných parametrů a komunikují s uživatelským rozhraním webové aplikace, kde je následně zobrazen výsledek výpočtů uživateli. Aplikace byla průběžně testována a v přehledném uživatelském rozhraní se pomocí pokročilých možností zadávání parametrů dají objevit některá zajímavá asociační pravidla.;Kliegr, Tomáš
