Order,URL,TitleEN,ScienceBranchID,Authors,Abstract,Keywords
1,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587295%21RIV25-AV0-67985556,3D Local Crime Type Models Based on Crime Hotspot Detection,10103,"Uglickich, Evženie;Nagy, Ivan","This paper deals with the analysis of the relationship between locations and types of crime observed in the Czech Republic. Cluster analysis of crime data based on the recursive Bayesian mixture estimation algorithm is used to identify crime hotspots and estimate local models of crime type. The experiments report that the 2D configuration of the algorithm allows the detection of crime hotspots online. The 3D configuration provides 29% more accurate crime type models than 2D clustering and alternative data mining algorithms. For the data set used, it was determined in which crime hotspots the most serious and most frequent types of crime can be expected to occur with the highest probability. The limitation of the study is the artificial support of the 3D clusters by the fully continuous data vector with the recoded values of the crime type. The potential use of the algorithm is expected in online web applications for sharing information on criminal offenses managed by the Police of the Czech Republic with the public and local government entities in the Czech Republic.n",crime location;crime type;cluster analysis;recursive Bayesian mixture estimation
2,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00602709%21RIV25-AV0-67985556,3D Non‑separable Moment Invariants and Their Use in Neural Networks,10201,"Karella, Tomáš;Suk, Tomáš;Košík, Václav;Bedratyuk, L.;Kerepecký, Tomáš;Flusser, Jan","Recognition of 3D objects is an important task in many bio-medical and industrial applications. The recognition algorithms should work regardless of a particular orientation of the object in the space. In this paper, we introduce new 3D rotation moment invariants, which are composed of non-separable Appell moments. We show that non-separable moments may outperform the separable ones in terms of recognition power and robustness thanks to a better distribution of their zero surfaces over the image space. We test the numerical properties and discrimination power of the proposed invariants on three real datasets—MRI images of human brain, 3D scans of statues, and confocal microscope images of worms. We show the robustness to resampling errors improved more than twice and the recognition rate increased by 2–10 % comparing to most common descriptors. In the last section, we show how these invariants can be used in state-of-the-art neural networks for image recognition. The proposed H-NeXtA architecture improved the recognition rate by 2–5 % over the current networks.",3D rotation invariants;Non-separable moments;Appell polynomials;Convolutional neural networks
3,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00617231%21RIV25-AV0-67985556,4D-STEM/PNBD: fast and easy powder electron diffraction in SEM,10201,"Šlouf, Miroslav;Sikorová, Pavlína;Skoupý, Radim;Šlouf, M.;Pavlova, Ewa;Rendl, David;Šroubek, Filip;Krzyžánek, Vladislav",Active participation in the conference and presentation of a poster entitled 4D-STEM/PNBD: fast and easy powder electron diffraction in SEM.,4D-STEM-in-SEM;powder electron diffraction;nanocrystals
4,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00599012%21RIV25-AV0-67985556,A combined framework to explore cryptocurrency volatility and dependence using multivariate GARCH and Copula modeling,50206,"Queiroz, R. G. S.;Krištoufek, Ladislav;David, S. A.","During the last years, cryptocurrencies have been increasingly becoming a relevant subject of academic researchers and investors. This paper adopts a novel framework that combines a multivariate Generalized AutoRegressive Conditional Heteroskedasticity (GARCH) and Copula modeling in a two-stage approach to analyze the cryptocurrency volatility dynamics. By combining the aforementioned techniques, on top of showing that price movements in one cryptocurrency can significantly influence others, the use of copulas highlight how these effects can vary across different parts of distributions and thus for different types of events with respect to their extreme nature. The interconnectedness complexity should be taken into consideration when managing risk in portfolio and constructing relevant models.",Bitcoin;Computer modeling;Simulation;Price dynamics
5,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00585174%21RIV25-AV0-67985556,A model and application of binary random sequence with probabilities depending on history,10103,"Volf, Petr;Kouřim, T.","This paper presents a model of binary random sequence with probabilities depending on previous sequence values as well as on a set of covariates. Both these dependencies are expressed via the logistic regression model, such a choice enables an easy and reliable model parameters estimation. Further, a model with time-depending parameters is considered and method of solution proposed. The main objective is then the application dealing with both artificial and real data cases, illustrating the method of model evaluation and its use.","statistics;discrete time process;logistic regression,"
6,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00579648%21RIV25-AV0-67985556,A new example for the Lavrentiev phenomenon in Nonlinear Elasticity,10102,"Almi, S.;Krömer, Stefan;Molchanova, A.","We present a new example for the Lavrentiev phenomenon in context of nonlinear elasticity, caused by an interplay of the elastic energy’s resistance to infinite compression and the Ciarlet–Nečas condition, a constraint preventing global interpenetration of matter on sets of full measure.",Nonlinear elasticity;Local injectivity;Global injectivity;Ciarlet–Nečas condition;Lavrentiev phenomenon;Approximation
7,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600099%21RIV25-AV0-67985556,A SDP relaxation of an optimal power flow problem for distribution networks,10102,"Desveaux, V.;Handa, Marouan","In this work, we are interested in an optimal power flow problem with fixed voltage magnitudes in distribution networks. This optimization problem is known to be non-convex and thus difficult to solve. A well-known solution methodology consists in reformulating the objective function and the constraints of the original problem in terms of positive semi-definite matrix traces, to which we add a rank constraint. To convexify the problem, we remove this rank constraint. Our main focus is to provide a strong mathematical proof of the exactness of this convex relaxation technique. To this end, we explore the geometry of the feasible set of the problem via its Pareto-front. We prove that the feasible set of the original problem and the feasible set of its convexification share the same Pareto-front. From a numerical point of view, this exactness result allows to reduce the initial problem to a semi-definite program, which can be solved by more efficient algorithms.",Electric power distribution network;Optimal power flow;Convex relaxation;Pareto-front
8,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00588208%21RIV25-AV0-67985556,A Statistical Model of Hazard Rate Change Caused by a Random Shock,10102,"Volf, Petr","In the framework of statistical reliability analysis, we propose a model describing the change of reliability of a technical component after certain event, as for instance a shock, or the failure and maintenance. Two kinds of failure rate changes are considered, namely a shift of virtual age of analyzed component and the acceleration of its subjective time. The objective is to estimate both the baseline lifetime probability distribution and the magnitude of these changes. The estimation procedure is based on the maximum likelihood method, both parametric and nonparametric distributions of lifetime are considered. Further, a graphical method of the goodness-of-fit test is proposed. The method is then checked on artificial examples, finally a real data problem is solved.",Time to failure;Reliability;Hazard rate;Kijima model;Accelerated lifetime
9,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00600835%21RIV25-AV0-67985556,A tribute to Klir’s research on entropy for belief functions,10102,"Jiroušek, Radim;Kratochvíl, Václav","This is a short paper to remind us that although Prof. George Klir passed away eight years ago, his ideas are still alive. He was one of the first to have the idea to extend information theory beyond probability theory and to see the potential of fuzzy sets and belief functions. Some of the problems he raised have not yet been satisfactorily solved. In this paper, we take a fresh look at the problem of what properties entropy should have if it is to be considered a measure of information. Based on these requirements, we consider 24 definitions of entropy for belief functions and study how well they satisfy the proposed conditions.",belief function;entropy;comparison
10,https://www.isvavai.cz/riv?s=jednoduche-vyhledavani&ss=detail&h=RIV%2F67985556%3A_____%2F24%3A00587093%21RIV25-AV0-67985556,"Accuracy Comparison of Logistic Regression, Random Forest, and Neural Networks Applied to Real MaaS Data",10103,"Reznychenko, T.;Uglickich, Evženie;Nagy, Ivan","The paper deals with a comparative analysis of three widely used data analysis methods: logistic regression, random forest, and neural networks. These methods have been evaluated in terms of accuracy, and computational efficiency and applied to different types of data sets, including both simulated and real MaaS data. The study aims to compare the efficiency of each method in classification tasks. The study leads to specific recommendations on which method to use under various circumstances, contributing to the decision-making process in data analysis projects. We have shown that random forests generally provide better accuracy and are resistant to over-training. Neural networks can achieve comparable performance under certain conditions, although at a high computational cost. Logistic regression shows limitations in dealing with complex data structures.",classification algorithms;data analysis;machine learning;Mobility as a Service;random forests
